tag,date,tabus,chances,resets,distance,cmax,time
Move Tabulist,2006-11-26 23:56:23,80,80,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:23,80,90,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:24,80,100,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:24,80,110,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:24,80,120,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:24,90,80,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:24,90,90,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:24,90,100,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:24,90,110,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:24,90,120,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:24,100,80,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:24,100,90,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:25,100,100,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:25,100,110,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:25,100,120,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:25,110,80,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:25,110,90,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:25,110,100,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:25,110,110,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:25,110,120,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:25,120,80,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:25,120,90,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:26,120,100,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:26,120,110,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:26,120,120,1,1,1875,0.00
Move Tabulist,2006-11-26 23:56:26,80,80,1,3,1842,0.00
Move Tabulist,2006-11-26 23:56:26,80,90,1,3,1803,0.00
Move Tabulist,2006-11-26 23:56:26,80,100,1,3,1803,0.01
Move Tabulist,2006-11-26 23:56:26,80,110,1,3,1803,0.00
Move Tabulist,2006-11-26 23:56:26,80,120,1,3,1803,0.00
Move Tabulist,2006-11-26 23:56:26,90,80,1,3,1803,0.00
Move Tabulist,2006-11-26 23:56:27,90,90,1,3,1803,0.01
Move Tabulist,2006-11-26 23:56:27,90,100,1,3,1731,0.01
Move Tabulist,2006-11-26 23:56:27,90,110,1,3,1731,0.02
Move Tabulist,2006-11-26 23:56:27,90,120,1,3,1731,0.01
Move Tabulist,2006-11-26 23:56:27,100,80,1,3,1803,0.01
Move Tabulist,2006-11-26 23:56:27,100,90,1,3,1738,0.01
Move Tabulist,2006-11-26 23:56:27,100,100,1,3,1738,0.00
Move Tabulist,2006-11-26 23:56:28,100,110,1,3,1738,0.01
Move Tabulist,2006-11-26 23:56:28,100,120,1,3,1738,0.01
Move Tabulist,2006-11-26 23:56:28,110,80,1,3,1738,0.01
Move Tabulist,2006-11-26 23:56:28,110,90,1,3,1738,0.01
Move Tabulist,2006-11-26 23:56:28,110,100,1,3,1738,0.01
Move Tabulist,2006-11-26 23:56:28,110,110,1,3,1738,0.01
Move Tabulist,2006-11-26 23:56:28,110,120,1,3,1738,0.02
Move Tabulist,2006-11-26 23:56:28,120,80,1,3,1738,0.01
Move Tabulist,2006-11-26 23:56:28,120,90,1,3,1738,0.01
Move Tabulist,2006-11-26 23:56:29,120,100,1,3,1736,0.01
Move Tabulist,2006-11-26 23:56:29,120,110,1,3,1729,0.02
Move Tabulist,2006-11-26 23:56:29,120,120,1,3,1729,0.01
Move Tabulist,2006-11-26 23:56:29,80,80,1,5,1797,0.02
Move Tabulist,2006-11-26 23:56:29,80,90,1,5,1797,0.02
Move Tabulist,2006-11-26 23:56:29,80,100,1,5,1797,0.02
