tasks,offlines,repeat,tag,date,tabus,chances,resets,distance,cmax,time,cmax_min
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:28,0,25,1,3,4205,0.04,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:28,0,50,1,3,4205,0.08,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:28,0,75,1,3,4205,0.11,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:29,0,100,1,3,4205,0.15,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:29,10,25,1,3,4205,0.04,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:29,10,50,1,3,4205,0.08,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:29,10,75,1,3,4205,0.12,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:29,10,100,1,3,4205,0.15,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:30,20,25,1,3,4205,0.04,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:30,20,50,1,3,4205,0.08,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:30,20,75,1,3,4155,0.12,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:30,20,100,1,3,4155,0.16,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:30,30,25,1,3,4205,0.04,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:31,30,50,1,3,4205,0.08,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:31,30,75,1,3,4205,0.12,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:31,30,100,1,3,4205,0.14,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:31,40,25,1,3,4205,0.04,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:32,40,50,1,3,4205,0.08,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:32,40,75,1,3,4205,0.11,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:32,40,100,1,3,4205,0.14,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:32,50,25,1,3,4205,0.04,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:32,50,50,1,3,4205,0.08,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:33,50,75,1,3,4205,0.11,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:33,50,100,1,3,4205,0.14,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:33,60,25,1,3,4205,0.04,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:33,60,50,1,3,4205,0.07,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:33,60,75,1,3,4205,0.12,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:34,60,100,1,3,4205,0.14,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:34,70,25,1,3,4205,0.04,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:34,70,50,1,3,4205,0.08,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:34,70,75,1,3,4205,0.12,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:34,70,100,1,3,4205,0.14,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:35,80,25,1,3,4205,0.04,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:35,80,50,1,3,4205,0.08,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:35,80,75,1,3,4205,0.11,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:35,80,100,1,3,4155,0.14,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:35,90,25,1,3,4205,0.04,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:36,90,50,1,3,4205,0.07,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:36,90,75,1,3,4205,0.11,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:36,90,100,1,3,4172,0.14,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:36,100,25,1,3,4205,0.04,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:36,100,50,1,3,4205,0.08,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:37,100,75,1,3,4205,0.10,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:37,100,100,1,3,4205,0.13,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:37,110,25,1,3,4205,0.04,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:37,110,50,1,3,4205,0.07,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:38,110,75,1,3,4205,0.10,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:38,110,100,1,3,4205,0.14,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:38,120,25,1,3,4205,0.04,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:38,120,50,1,3,4205,0.08,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:38,120,75,1,3,4205,0.10,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:39,120,100,1,3,4205,0.15,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:39,130,25,1,3,4205,0.04,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:39,130,50,1,3,4205,0.07,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:39,130,75,1,3,4205,0.11,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:39,130,100,1,3,4205,0.11,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:40,140,25,1,3,4205,0.04,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:40,140,50,1,3,4205,0.06,4021
50,10,10,Move Tabulist test tabulisty,2006-11-26 16:20:40,140,75,1,3,4205,0.10,4021
